D,m,N,theta,Re_Omega,Re_Ref_Ylm,L_eff,l_pure
0,0,0,0,0.282095,0.282095,0,0
0,0,0,0.0314159,0.282095,0.282095,0,0
0,0,0,0.0628319,0.282095,0.282095,0,0
0,0,0,0.0942478,0.282095,0.282095,0,0
0,0,0,0.125664,0.282095,0.282095,0,0
0,0,0,0.15708,0.282095,0.282095,0,0
0,0,0,0.188496,0.282095,0.282095,0,0
0,0,0,0.219911,0.282095,0.282095,0,0
0,0,0,0.251327,0.282095,0.282095,0,0
0,0,0,0.282743,0.282095,0.282095,0,0
0,0,0,0.314159,0.282095,0.282095,0,0
0,0,0,0.345575,0.282095,0.282095,0,0
0,0,0,0.376991,0.282095,0.282095,0,0
0,0,0,0.408407,0.282095,0.282095,0,0
0,0,0,0.439823,0.282095,0.282095,0,0
0,0,0,0.471239,0.282095,0.282095,0,0
0,0,0,0.502655,0.282095,0.282095,0,0
0,0,0,0.534071,0.282095,0.282095,0,0
0,0,0,0.565487,0.282095,0.282095,0,0
0,0,0,0.596903,0.282095,0.282095,0,0
0,0,0,0.628319,0.282095,0.282095,0,0
0,0,0,0.659734,0.282095,0.282095,0,0
0,0,0,0.69115,0.282095,0.282095,0,0
0,0,0,0.722566,0.282095,0.282095,0,0
0,0,0,0.753982,0.282095,0.282095,0,0
0,0,0,0.785398,0.282095,0.282095,0,0
0,0,0,0.816814,0.282095,0.282095,0,0
0,0,0,0.84823,0.282095,0.282095,0,0
0,0,0,0.879646,0.282095,0.282095,0,0
0,0,0,0.911062,0.282095,0.282095,0,0
0,0,0,0.942478,0.282095,0.282095,0,0
0,0,0,0.973894,0.282095,0.282095,0,0
0,0,0,1.00531,0.282095,0.282095,0,0
0,0,0,1.03673,0.282095,0.282095,0,0
0,0,0,1.06814,0.282095,0.282095,0,0
0,0,0,1.09956,0.282095,0.282095,0,0
0,0,0,1.13097,0.282095,0.282095,0,0
0,0,0,1.16239,0.282095,0.282095,0,0
0,0,0,1.19381,0.282095,0.282095,0,0
0,0,0,1.22522,0.282095,0.282095,0,0
0,0,0,1.25664,0.282095,0.282095,0,0
0,0,0,1.28805,0.282095,0.282095,0,0
0,0,0,1.31947,0.282095,0.282095,0,0
0,0,0,1.35088,0.282095,0.282095,0,0
0,0,0,1.3823,0.282095,0.282095,0,0
0,0,0,1.41372,0.282095,0.282095,0,0
0,0,0,1.44513,0.282095,0.282095,0,0
0,0,0,1.47655,0.282095,0.282095,0,0
0,0,0,1.50796,0.282095,0.282095,0,0
0,0,0,1.53938,0.282095,0.282095,0,0
0,0,0,1.5708,0.282095,0.282095,0,0
0,0,0,1.60221,0.282095,0.282095,0,0
0,0,0,1.63363,0.282095,0.282095,0,0
