D,m,N,r,Re_Radial,Re_Ref_Bessel,L_eff,l_pure
0,0,0,0.1,0.998334,0.998334,0,0
0,0,0,0.2,0.993347,0.993347,0,0
0,0,0,0.3,0.985067,0.985067,0,0
0,0,0,0.4,0.973546,0.973546,0,0
0,0,0,0.5,0.958851,0.958851,0,0
0,0,0,0.6,0.941071,0.941071,0,0
0,0,0,0.7,0.920311,0.920311,0,0
0,0,0,0.8,0.896695,0.896695,0,0
0,0,0,0.9,0.870363,0.870363,0,0
0,0,0,1,0.841471,0.841471,0,0
0,0,0,1.1,0.810189,0.810189,0,0
0,0,0,1.2,0.776699,0.776699,0,0
0,0,0,1.3,0.741199,0.741199,0,0
0,0,0,1.4,0.703893,0.703893,0,0
0,0,0,1.5,0.664997,0.664997,0,0
0,0,0,1.6,0.624734,0.624734,0,0
0,0,0,1.7,0.583332,0.583332,0,0
0,0,0,1.8,0.541026,0.541026,0,0
0,0,0,1.9,0.498053,0.498053,0,0
0,0,0,2,0.454649,0.454649,0,0
0,0,0,2.1,0.411052,0.411052,0,0
0,0,0,2.2,0.367498,0.367498,0,0
0,0,0,2.3,0.32422,0.32422,0,0
0,0,0,2.4,0.281443,0.281443,0,0
0,0,0,2.5,0.239389,0.239389,0,0
0,0,0,2.6,0.19827,0.19827,0,0
0,0,0,2.7,0.158289,0.158289,0,0
0,0,0,2.8,0.119639,0.119639,0,0
0,0,0,2.9,0.0824998,0.0824998,0,0
0,0,0,3,0.04704,0.04704,0,0
0,0,0,3.1,0.0134131,0.0134131,0,0
0,0,0,3.2,-0.0182419,-0.0182419,0,0
0,0,0,3.3,-0.0478017,-0.0478017,0,0
0,0,0,3.4,-0.0751591,-0.0751591,0,0
0,0,0,3.5,-0.100224,-0.100224,0,0
0,0,0,3.6,-0.122922,-0.122922,0,0
0,0,0,3.7,-0.143199,-0.143199,0,0
0,0,0,3.8,-0.161015,-0.161015,0,0
0,0,0,3.9,-0.17635,-0.17635,0,0
0,0,0,4,-0.189201,-0.189201,0,0
0,0,0,4.1,-0.19958,-0.19958,0,0
0,0,0,4.2,-0.207518,-0.207518,0,0
0,0,0,4.3,-0.213062,-0.213062,0,0
0,0,0,4.4,-0.216273,-0.216273,0,0
0,0,0,4.5,-0.217229,-0.217229,0,0
0,0,0,4.6,-0.21602,-0.21602,0,0
0,0,0,4.7,-0.21275,-0.21275,0,0
0,0,0,4.8,-0.207534,-0.207534,0,0
0,0,0,4.9,-0.200501,-0.200501,0,0
0,0,0,5,-0.191785,-0.191785,0,0
0,0,0,5.1,-0.181532,-0.181532,0,0
0,0,0,5.2,-0.169895,-0.169895,0,0
0,0,0,5.3,-0.157032,-0.157032,0,0
0,0,0,5.4,-0.143105,-0.143105,0,0
0,0,0,5.5,-0.12828,-0.12828,0,0
0,0,0,5.6,-0.112726,-0.112726,0,0
0,0,0,5.7,-0.0966115,-0.0966115,0,0
0,0,0,5.8,-0.0801038,-0.0801038,0,0
0,0,0,5.9,-0.0633689,-0.0633689,0,0
0,0,0,6,-0.0465692,-0.0465692,0,0
0,0,0,6.1,-0.0298627,-0.0298627,0,0
0,0,0,6.2,-0.0134015,-0.0134015,0,0
0,0,0,6.3,0.00266887,0.00266887,0,0
0,0,0,6.4,0.0182108,0.0182108,0,0
0,0,0,6.5,0.0330954,0.0330954,0,0
0,0,0,6.6,0.0472032,0.0472032,0,0
0,0,0,6.7,0.0604254,0.0604254,0,0
0,0,0,6.8,0.0726637,0.0726637,0,0
0,0,0,6.9,0.0838318,0.0838318,0,0
0,0,0,7,0.0938552,0.0938552,0,0
