eKE_eV,beta
1.000000000000000021e-02,7.733100037705231689e-01
8.894736842105262220e-02,7.618841342608342337e-01
1.678947368421052633e-01,7.255578301315683820e-01
2.468421052631578905e-01,6.745543999899223930e-01
3.257894736842105177e-01,6.107466284590572503e-01
4.047368421052631726e-01,5.347502951337601562e-01
4.836842105263157721e-01,4.469954202276112953e-01
5.626315789473683715e-01,3.482323311505132191e-01
6.415789473684210265e-01,2.399481177215757877e-01
7.205263157894736814e-01,1.247777124556988942e-01
7.994736842105263364e-01,6.876737073645966883e-03
8.784210526315788803e-01,-1.078606950055942121e-01
9.573684210526315352e-01,-2.119220855182010754e-01
1.036315789473684079e+00,-2.968203860678746420e-01
1.115263157894736734e+00,-3.543219901922526893e-01
1.194210526315789389e+00,-3.780505468609142716e-01
1.273157894736842044e+00,-3.649627445765049050e-01
1.352105263157894699e+00,-3.160989507344935667e-01
1.431052631578947354e+00,-2.362715497831746059e-01
1.510000000000000009e+00,-1.328409634630719760e-01
